sku,url,image,name,description,manufacturer,price,currency,qty
1522,https://knutgadd.com/noni-decagon-black-murray-hill-black.html,https://knutgadd.com/media/catalog/product/n/o/noni_black_soldat_1.png,"Noni Decagon White","<ul>
<li>The 35 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,75
1523,https://knutgadd.com/noni-decagon-white-st-germain-white.html,https://knutgadd.com/media/catalog/product/n/o/noni_stgermainwhite_soldat_4_1.png,"Noni Decagon White","<ul>
<li>The 35 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,96
1821,https://knutgadd.com/decagon-black-murray-hill-black.html,https://knutgadd.com/media/catalog/product/d/e/decagon-black_myrray-hill-black_2.jpg,"Decagon Black","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,58
1822,https://knutgadd.com/decagon-black-murray-hill-blrown.html,https://knutgadd.com/media/catalog/product/d/e/decagon_black_mhbrown.jpg,"Decagon Black","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,98
1825,https://knutgadd.com/decagon-black-st-germain-black.html,https://knutgadd.com/media/catalog/product/d/e/decagon-black_stgermain-black_2.jpg,"Decagon Black","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,91
2023,https://knutgadd.com/decagon-white-altona-light-brown.html,https://knutgadd.com/media/catalog/product/d/e/decagon-white_altona-lightbrown_2.jpg,"Decagon White","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,86
2021,https://knutgadd.com/decagon-white-murray-hill-black.html,https://knutgadd.com/media/catalog/product/d/e/decagon_white_mhblack.jpg,"Decagon White","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,77
2022,https://knutgadd.com/decagon-white-murray-hill-brown.html,https://knutgadd.com/media/catalog/product/d/e/decagon-white_myrray-hill-brown_3.jpg,"Decagon White ","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,97
2027,https://knutgadd.com/decagon-white-torekov-green.html,https://knutgadd.com/media/catalog/product/d/e/decagon-white_torekov-green_2.jpg,"Decagon White","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,94
2026,https://knutgadd.com/decagon-white-torekov-navy.html,https://knutgadd.com/media/catalog/product/d/e/decagon-white_torekov-navy_2.jpg,"Decagon White","<ul>
<li>The 38 mm watch case. </li>
<li>The thickness is 7.5 mm.</li>
<li>Sapphire crystal.</li>
<li>Japanese quartz movement, Miyota.</li>
<li>We use only the finest Italian calf leather for our watch straps.</li>
<li>5 ATM water resistance. </li>
</ul>","Knut Gadd",1990.0000,SEK,97
3141,https://knutgadd.com/altona-light-brown.html,https://knutgadd.com/media/catalog/product/a/l/altona-lightbrown_1.jpg,"Altona Light Brown","<ul>
<li>Fits: The 38 mm Decagon only</li>
<li>Width: 20 mm</li>
<li>Size: One size</li>
<li>Material: Italian calf leather</li>
<li>Buckle color: Silver</li>
</ul>","Knut Gadd",390.0000,SEK,89
3150,https://knutgadd.com/st-germain-black.html,https://knutgadd.com/media/catalog/product/s/t/stgermain-black_1.jpg,"St Germain Black","<ul>
<li>Fits: The 38 mm Decagon only</li>
<li>Width: 20 mm</li>
<li>Size: One size</li>
<li>Material: Italian calf leather</li>
<li>Buckle color: Silver</li>
</ul>","Knut Gadd",390.0000,SEK,90
3161,https://knutgadd.com/torekov-green.html,https://knutgadd.com/media/catalog/product/t/o/torekov-green_1.jpg,"Torekov Green","<ul>
<li>Fits: The 38 mm Decagon only</li>
<li>Width: 20 mm</li>
<li>Size: One size</li>
<li>Material: Italian calf leather</li>
<li>Buckle color: Silver</li>
</ul>
","Knut Gadd",390.0000,SEK,92
3160,https://knutgadd.com/torekov-navy.html,https://knutgadd.com/media/catalog/product/t/o/torekov-navy_1.jpg,"Torekov Navy","<ul>
<li>Fits: The 38 mm Decagon only</li>
<li>Width: 20 mm</li>
<li>Size: One size</li>
<li>Material: Italian calf leather</li>
<li>Buckle color: Silver</li>
</ul>","Knut Gadd",390.0000,SEK,95
